# Generated by tools/build_region_coordinates.py from pycountry 26.2.16 and Natural Earth 5.2.0-pre (public domain). Do not edit by hand.
alpha_2,alpha_3,latitude,longitude
AD,AND,42.5476,1.5394
AE,ARE,23.4663,54.5473
AF,AFG,34.1643,66.4966
AG,ATG,17.3522,-61.7906
AI,AIA,18.2430,-63.0264
AL,ALB,40.6549,20.1138
AM,ARM,40.4591,44.8006
AO,AGO,-12.1828,17.9842
AQ,ATA,-79.8432,35.8855
AR,ARG,-33.5012,-64.1733
AS,ASM,-14.3267,-170.7472
AT,AUT,47.5189,14.1305
AU,AUS,-24.1295,134.0497
AW,ABW,12.5174,-69.9728
AX,ALA,60.1565,19.8697
AZ,AZE,40.4024,47.2110
BA,BIH,44.0911,18.0684
BB,BRB,13.1637,-59.5690
BD,BGD,24.2150,89.6850
BE,BEL,50.7854,4.8004
BF,BFA,12.6730,-1.3639
BG,BGR,42.5088,25.1571
BH,BHR,26.0560,50.5548
BI,BDI,-3.3328,29.9171
BJ,BEN,10.3248,2.3520
BL,BLM,17.9020,-62.8332
BM,BMU,32.2966,-64.7636
BN,BRN,4.4483,114.5519
BO,BOL,-16.6660,-64.5934
BQ,BES,,
BR,BRA,-12.0987,-49.5594
BS,BHS,26.4018,-77.1467
BT,BTN,27.5367,90.0403
BV,BVT,,
BW,BWA,-22.1026,24.1792
BY,BLR,53.8219,28.4177
BZ,BLZ,17.2021,-88.7130
CA,CAN,60.3243,-101.9107
CC,CCK,,
CD,COD,-1.8582,23.4588
CF,CAF,6.9897,20.9069
CG,COG,0.1423,15.9005
CH,CHE,46.7191,7.4640
CI,CIV,7.4914,-5.5686
CK,COK,-21.2160,-159.7857
CL,CHL,-38.1518,-72.3189
CM,CMR,4.5850,12.4735
CN,CHN,32.4982,106.3373
CO,COL,3.3731,-73.1743
CR,CRI,10.0651,-84.0779
CU,CUB,21.3340,-77.9759
CV,CPV,15.0748,-23.6394
CW,CUW,12.1450,-68.9206
CX,CXR,,
CY,CYP,34.9133,33.0842
CZ,CZE,49.8824,15.3776
DE,DEU,50.9617,9.6783
DJ,DJI,11.9763,42.4988
DK,DNK,55.9670,9.0182
DM,DMA,15.4588,-61.3450
DO,DOM,19.1041,-70.6540
DZ,DZA,27.3974,2.8082
EC,ECU,-1.2591,-78.1884
EE,EST,58.7249,25.8671
EG,EGY,26.1862,29.4458
EH,ESH,23.9676,-12.6303
ER,ERI,15.7874,38.2856
ES,ESP,40.0910,-3.4647
ET,ETH,8.0328,39.0886
FI,FIN,63.2524,27.2764
FJ,FJI,-17.8261,177.9754
FK,FLK,-51.6089,-58.7386
FM,FSM,6.8876,158.2340
FO,FRO,62.1856,-7.0584
FR,FRA,46.6961,2.5523
