# Generated by tools/build_region_coordinates.py from pycountry 26.2.16 and Natural Earth 5.2.0-pre (public domain). Do not edit by hand.
alpha_3,subdivision,latitude,longitude
AND,02,42.5842,1.6054
AND,03,42.5381,1.6441
AND,04,42.5500,1.4708
AND,05,42.6036,1.5244
AND,06,42.4511,1.4797
AND,07,42.5128,1.5107
AND,08,42.4950,1.5943
ARE,AJ,25.3971,55.5411
ARE,AZ,23.5238,54.0817
ARE,DU,24.9508,55.3436
ARE,FU,25.4752,56.2221
ARE,RK,25.6964,55.9791
ARE,SH,25.1720,55.7788
ARE,UQ,25.5218,55.7217
AFG,BAL,36.6851,67.2185
AFG,BAM,34.9693,67.2365
AFG,BDG,35.2699,63.8495
AFG,BDS,36.7810,70.8036
AFG,BGL,35.8588,68.9831
AFG,FRA,32.5314,62.6498
AFG,FYB,35.8043,64.7678
AFG,GHA,33.4079,67.8006
AFG,GHO,34.0020,64.9224
AFG,HEL,30.9278,63.9824
AFG,HER,34.1551,62.4845
AFG,JOW,36.8971,65.9617
AFG,KAB,34.4949,69.3846
AFG,KAN,31.1350,65.7163
AFG,KAP,34.9748,69.6626
AFG,KDZ,36.9043,68.6820
AFG,KHO,33.3630,69.8211
AFG,KNR,34.9013,71.1061
AFG,LAG,34.7273,70.2085
AFG,LOG,34.0857,69.3047
AFG,NAN,34.2153,70.3027
AFG,NIM,30.7528,62.2069
AFG,NUR,35.2898,70.7567
AFG,PAR,35.1676,69.3291
AFG,PIA,32.5106,68.6510
AFG,PKA,33.5750,69.3826
AFG,SAM,36.0506,67.6830
AFG,SAR,35.7062,66.2158
AFG,TAK,36.8335,69.8124
AFG,URU,33.3258,66.1979
AFG,WAR,34.4269,68.1087
AFG,ZAB,32.4033,67.1401
ATG,03,17.1084,-61.7804
ATG,04,17.1101,-61.8237
ATG,05,17.0368,-61.8570
ATG,06,17.0352,-61.7671
ATG,07,17.0935,-61.7404
ATG,08,17.0601,-61.7021
ATG,10,17.6155,-61.7920
ATG,11,16.9335,-62.3467
AIA,X00,18.5982,-63.4262
ALB,01,40.6441,20.0865
ALB,02,41.5152,19.6522
ALB,03,41.0299,20.1358
ALB,04,40.8112,19.6047
ALB,05,40.1927,20.1868
ALB,06,40.6138,20.6648
ALB,07,42.0902,20.1933
ALB,08,41.8240,19.8649
ALB,09,41.6080,20.1772
ALB,10,42.2144,19.7573
ALB,11,41.1326,19.8383
ALB,12,40.1908,19.7946
ARM,AG,40.3213,44.0736
ARM,AR,39.9204,44.7304
ARM,AV,40.0992,44.0464
ARM,ER,40.1474,44.5330
ARM,GR,40.2780,45.3848
ARM,KT,40.3747,44.7191
ARM,LO,40.9347,44.4524
ARM,SH,40.8194,43.8178
ARM,SU,39.2479,46.1518
ARM,TV,40.8883,45.1763
ARM,VD,39.7183,45.4421
AGO,BGO,-8.9995,13.9070
AGO,BGU,-12.7993,13.8119
AGO,BIE,-12.7997,17.4921
AGO,CAB,-4.8015,12.5430
AGO,CCU,-16.3110,19.9218
AGO,CNN,-16.6271,15.2810
AGO,CNO,-9.6988,14.9458
AGO,CUS,-10.9232,15.0504
AGO,HUA,-12.5587,15.6947
AGO,HUI,-14.7348,14.9844
AGO,LNO,-8.4722,19.6268
AGO,LSU,-10.2341,20.3821
AGO,LUA,-8.9594,13.3166
AGO,MAL,-9.1474,16.9731
AGO,MOX,-13.2810,21.0033
AGO,NAM,-15.8249,12.6525
AGO,UIG,-6.9590,15.4475
AGO,ZAI,-6.7830,13.6096
ARG,A,-25.0203,-64.4715
ARG,B,-36.6734,-60.1133
ARG,C,-34.6202,-58.4527
ARG,D,-33.9469,-66.1350
ARG,E,-32.0275,-59.2824
ARG,F,-29.3762,-67.5283
ARG,G,-27.6882,-63.4450
ARG,H,-26.5090,-60.8752
ARG,J,-30.9700,-68.6612
ARG,K,-26.7709,-67.0086
ARG,L,-37.3861,-65.8386
ARG,M,-34.8484,-68.5423
ARG,N,-27.1262,-54.8406
ARG,P,-24.9146,-59.9494
ARG,Q,-38.3579,-69.9833
ARG,R,-40.1261,-67.3641
ARG,S,-30.7764,-60.8593
ARG,T,-26.9711,-65.3387
ARG,U,-43.9995,-67.8642
ARG,V,-54.3887,-67.5329
ARG,W,-28.8387,-57.6482
ARG,X,-32.3275,-63.7501
ARG,Y,-23.1764,-65.7054
ARG,Z,-49.0428,-69.6596
AUT,1,47.4281,16.3584
AUT,2,46.7201,13.8695
AUT,3,48.2477,15.7448
AUT,4,48.2377,13.8560
AUT,5,47.2534,13.0106
AUT,6,47.3901,14.8565
AUT,7,47.2082,11.3800
AUT,8,47.2617,9.8737
AUT,9,48.2247,16.3798
AUS,ACT,-35.4618,148.9830
AUS,NSW,-32.0305,152.9285
AUS,NT,-20.1026,133.7800
AUS,QLD,-23.1364,144.7780
AUS,SA,-29.6504,135.7830
AUS,TAS,-42.1383,146.6030
AUS,VIC,-37.0082,144.7500
AUS,WA,-25.8483,121.6460
AZE,ABS,40.3278,49.3694
AZE,AGA,41.1896,45.4341
AZE,AGC,39.9710,47.4145
AZE,AGM,40.0455,46.9918
AZE,AGS,40.5680,47.4132
AZE,AGU,40.5091,48.3659
AZE,AST,38.4938,48.7049
AZE,BA,40.4447,50.0435
AZE,BAB,39.1871,45.3373
AZE,BAL,41.7393,46.4478
AZE,BAR,40.3534,47.2467
AZE,BEY,39.7591,47.6611
AZE,BIL,39.4604,48.3681
AZE,CAB,39.2768,46.9823
AZE,CAL,39.1757,48.4338
AZE,CUL,39.1360,45.6847
AZE,DAS,40.4837,46.0228
AZE,FUZ,39.5574,47.3220
AZE,GA,40.6864,46.3206
AZE,GAD,40.4920,45.6429
AZE,GOR,40.5463,46.6450
AZE,GOY,40.5690,47.8172
AZE,GYG,40.4627,46.2950
AZE,HAC,40.1106,48.8984
AZE,IMI,39.9121,48.0606
AZE,ISM,40.7896,48.1125
AZE,KAL,40.0966,46.1688
AZE,KAN,39.4039,45.1447
AZE,KUR,40.2443,48.1586
AZE,LA,38.7377,48.7865
AZE,LAN,39.7717,46.3095
AZE,LER,38.7139,48.4779
AZE,MAS,38.9858,48.6980
AZE,MI,40.7508,46.9846
AZE,NA,40.5077,46.8275
AZE,NEF,39.3924,49.0585
AZE,NX,39.2127,45.4212
AZE,OGU,41.0400,47.4853
AZE,ORD,39.0972,45.9272
AZE,QAB,40.9578,47.7784
AZE,QAX,41.3750,46.7976
AZE,QAZ,41.0778,45.2004
AZE,QBA,41.1847,48.3368
AZE,QBI,39.3434,46.5917
AZE,QOB,40.4977,48.9623
AZE,QUS,41.4005,48.1944
AZE,SA,41.1184,47.1725
AZE,SAB,39.8179,48.8122
AZE,SAD,39.6990,44.8638
AZE,SAH,39.4227,45.5799
AZE,SAL,39.7198,49.0495
AZE,SAR,39.5929,45.0172
AZE,SAT,39.7892,48.4591
AZE,SBN,41.1969,48.9074
AZE,SIY,41.0414,49.0973
AZE,SKR,40.8317,46.0161
AZE,SM,40.5841,49.5962
AZE,SMI,40.3768,48.5986
AZE,SMX,40.8795,46.4234
AZE,SR,39.9474,48.9257
AZE,SUS,39.7027,46.6580
AZE,TAR,40.2547,46.7929
AZE,TOV,41.0669,45.8238
AZE,UCA,40.3925,47.7290
AZE,XA,39.8285,46.7662
AZE,XAC,41.5198,48.7701
AZE,XCI,39.8925,46.6804
AZE,XIZ,40.7249,49.1540
AZE,XVD,39.6307,46.9900
AZE,YAR,38.8660,48.2690
AZE,YEV,40.6488,47.0302
AZE,ZAN,39.0904,46.6305
AZE,ZAQ,41.5666,46.6540
AZE,ZAR,40.2395,47.6936
BIH,BIH,43.9697,17.7818
BIH,BRC,44.8305,18.8540
BIH,SRP,45.0600,18.2977
BRB,01,13.0873,-59.5380
BRB,02,13.2551,-59.5759
BRB,03,13.1489,-59.5479
BRB,04,13.1920,-59.6259
BRB,05,13.1795,-59.5039
BRB,06,13.2118,-59.5495
BRB,07,13.3177,-59.6150
BRB,08,13.1180,-59.6047
BRB,09,13.2679,-59.6109
BRB,10,13.1368,-59.4700
BRB,11,13.1877,-59.5898
BGD,A,22.4351,90.2369
BGD,B,22.4245,92.1333
BGD,C,24.1653,90.4053
BGD,D,22.9179,89.3708
BGD,E,24.6664,89.0438
BGD,F,25.7571,89.1120
BGD,G,24.6452,91.7033
BEL,BRU,50.8332,4.3627
BEL,VAN,51.2485,4.7212
BEL,VBR,50.8709,4.5371
BEL,VLG,51.0242,4.3051
BEL,VLI,50.9954,5.4131
BEL,VOV,50.9749,3.8319
BEL,VWV,51.0312,3.0220
BEL,WAL,50.4060,4.9017
BEL,WBR,50.6416,4.5547
BEL,WHT,50.5210,3.8893
BEL,WLG,50.5794,5.6765
BEL,WLX,49.9637,5.5012
BEL,WNA,50.3244,4.8871
BFA,01,12.5412,-3.4076
BFA,02,10.4017,-4.8264
BFA,03,12.3267,-1.4662
BFA,04,11.6811,-0.1746
BFA,05,13.2807,-1.0541
BFA,06,11.8397,-2.1624
BFA,07,11.5690,-1.1910
BFA,08,12.2283,0.8390
BFA,09,11.3714,-4.2089
BFA,10,13.4053,-2.2210
BFA,11,12.4154,-1.2970
BFA,12,14.0006,-0.2840
BFA,13,10.6029,-3.2683
BFA,BAL,11.8279,-3.0688
BFA,BAM,13.4455,-1.5778
BFA,BAN,12.1648,-4.1085
BFA,BAZ,11.9332,-1.4649
BFA,BGR,10.8979,-3.4235
BFA,BLG,11.4767,-0.4367
BFA,BLK,12.3143,-2.1357
BFA,COM,10.2156,-4.4176
BFA,GAN,12.2052,-0.7686
BFA,GNA,12.9057,0.1153
BFA,GOU,12.0677,0.6104
BFA,HOU,11.3355,-4.1900
BFA,IOB,11.0116,-2.9697
BFA,KAD,12.3267,-1.4662
BFA,KEN,11.4128,-5.0273
BFA,KMD,12.6971,0.7760
BFA,KMP,11.4519,0.8989
BFA,KOP,11.4079,0.2043
BFA,KOS,12.9587,-3.8889
BFA,KOT,12.1587,-0.2915
BFA,KOW,12.3933,-1.8367
BFA,LER,10.5879,-5.2352
BFA,LOR,13.8724,-2.0709
BFA,MOU,12.3486,-3.3868
BFA,NAM,13.1697,-0.5040
BFA,NAO,11.2028,-1.1678
BFA,NAY,12.6594,-3.0332
BFA,NOU,10.2510,-3.3401
BFA,OUB,12.6477,-1.2856
BFA,OUD,14.5769,-0.4116
BFA,PAS,12.8734,-2.1066
BFA,PON,10.2510,-3.3401
BFA,SEN,13.8673,-0.0711
BFA,SIS,11.1806,-2.1089
BFA,SMT,13.2270,-1.0804
BFA,SNG,12.2508,-2.5730
BFA,SOM,14.2352,-1.3180
BFA,SOR,13.2875,-2.9597
BFA,TAP,12.0191,1.7947
BFA,TUI,11.3659,-3.4095
BFA,YAG,13.3228,0.6648
BFA,YAT,13.6813,-2.3253
BFA,ZIR,11.6131,-1.8319
BFA,ZON,13.1939,-2.3813
BFA,ZOU,11.5711,-0.9402
BGR,01,41.7430,23.5213
BGR,02,42.5385,27.2597
BGR,03,43.2097,27.5827
BGR,04,42.8079,25.6222
BGR,05,43.8092,22.7008
BGR,06,43.4325,23.8320
BGR,07,42.9256,25.2475
BGR,08,43.6874,27.9018
BGR,09,41.5377,25.5852
BGR,10,42.2381,22.9371
BGR,11,43.0037,24.5374
BGR,12,43.4870,23.1788
BGR,13,42.1920,24.1391
BGR,14,42.6064,22.8519
BGR,15,43.4953,24.6181
BGR,16,42.3061,24.8449
BGR,17,43.6291,26.5873
BGR,18,43.6211,25.9305
BGR,19,43.9352,27.0072
BGR,20,42.7164,26.2373
BGR,21,41.6644,24.6089
BGR,22,42.6790,23.3570
BGR,23,42.2880,23.6060
BGR,24,42.4759,25.5689
BGR,25,43.2251,26.3637
BGR,26,41.8489,25.8816
BGR,27,43.2942,26.9857
BGR,28,42.2935,26.6096
BHR,13,26.2204,50.5777
BHR,14,25.9688,50.5622
BHR,15,26.2610,50.6376
BHR,16,26.1373,50.5738
BHR,17,26.1624,50.4868
BDI,BB,-3.1045,29.3862
BDI,BL,-3.6184,29.4237
BDI,BM,-3.3986,29.3689
BDI,BR,-3.8515,29.5672
BDI,CA,-3.1110,30.5612
BDI,CI,-2.8674,29.2407
BDI,GI,-3.4898,29.9159
BDI,KI,-2.5641,30.1647
BDI,KR,-3.1444,30.1146
BDI,KY,-3.0250,29.6613
BDI,MA,-4.2162,29.7710
BDI,MU,-3.2533,29.6680
BDI,MW,-3.5179,29.6943
BDI,MY,-2.8921,30.3161
BDI,NG,-2.8690,29.8960
BDI,RT,-3.8482,30.1331
BDI,RY,-3.4427,30.3391
BEN,AK,10.7035,1.5578
BEN,AL,11.4305,2.9260
BEN,AQ,6.6166,2.2226
BEN,BO,9.8067,2.9036
BEN,CO,8.0051,2.1725
BEN,DO,9.3151,1.7714
BEN,KO,6.9850,1.8123
BEN,LI,6.3662,2.4219
BEN,MO,6.4857,1.7947
BEN,OU,6.5942,2.5517
BEN,PL,7.1521,2.6048
BEN,ZO,7.2268,2.0913
BMU,DEV,32.3033,-64.7566
BMU,HA,32.2938,-64.7884
BMU,HAM,32.3454,-64.7197
BMU,PAG,32.2784,-64.7811
BMU,PEM,32.2995,-64.7997
BMU,SAN,32.2985,-64.8687
BMU,SG,32.3747,-64.6742
BMU,SGE,32.3645,-64.6998
BMU,SMI,32.3141,-64.7319
BMU,SOU,32.2524,-64.8375
BMU,WAR,32.2658,-64.8042
BRN,BE,4.4555,114.4080
BRN,BM,4.9021,114.9200
BRN,TE,4.6025,115.1910
BRN,TU,4.6450,114.6710
BOL,B,-14.0358,-64.5806
BOL,C,-17.2884,-65.6137
BOL,H,-20.0848,-63.9529
BOL,L,-14.8335,-68.2128
BOL,N,-11.2730,-67.4319
BOL,O,-18.7151,-67.5984
BOL,P,-20.9033,-66.7701
BOL,S,-16.5168,-61.1370
BOL,T,-21.5039,-63.8005
BRA,AC,-8.9285,-70.2976
BRA,AL,-9.7739,-36.6917
BRA,AM,-4.2177,-63.7853
BRA,AP,1.4116,-51.6842
BRA,BA,-12.3651,-41.8027
BRA,CE,-5.3760,-39.3429
BRA,DF,-15.7665,-47.7902
BRA,ES,-19.6916,-40.5436
BRA,GO,-15.8630,-49.5786
BRA,MA,-5.0190,-45.3890
BRA,MG,-18.5895,-44.4808
BRA,MS,-20.6756,-54.5502
BRA,MT,-13.3926,-55.9235
BRA,PA,-4.4431,-52.6491
BRA,PB,-7.3423,-36.2726
BRA,PE,-8.4728,-37.2958
BRA,PI,-8.0870,-43.1974
BRA,PR,-24.6618,-51.3228
BRA,RJ,-22.4049,-43.1152
BRA,RN,-5.6616,-36.5472
BRA,RO,-10.9712,-63.1439
BRA,RR,1.9380,-61.3325
BRA,RS,-29.7277,-53.6560
BRA,SC,-27.0392,-51.1586
BRA,SE,-10.5918,-37.3836
BRA,SP,-22.2267,-48.5206
BRA,TO,-10.2230,-48.2502
BHS,AK,22.3745,-74.0024
BHS,BI,25.7074,-79.2811
BHS,BP,24.0720,-76.3623
BHS,BY,25.7591,-77.8527
BHS,CE,25.1588,-76.1760
BHS,CI,24.2583,-75.3894
BHS,CK,22.7472,-74.2405
BHS,CO,26.4215,-77.1179
BHS,CS,24.4757,-77.9355
BHS,EG,26.6596,-78.2150
BHS,EX,23.5855,-75.9069
BHS,FP,26.5339,-78.6252
BHS,HI,25.5443,-76.7641
BHS,IN,21.0600,-73.3607
BHS,LI,23.0370,-74.9132
BHS,MC,24.0806,-77.8018
BHS,MG,22.3849,-73.0295
BHS,MI,26.2973,-77.5526
BHS,NE,25.4383,-76.5900
BHS,NO,26.8873,-77.6354
BHS,NS,24.8276,-77.9976
BHS,RC,23.6787,-74.8408
BHS,RI,22.2296,-75.7413
BHS,SA,23.7822,-77.6043
BHS,SE,24.7344,-76.1967
BHS,SO,26.0179,-77.2421
BHS,SS,24.0513,-74.4785
BHS,SW,25.5237,-76.8334
BHS,WG,26.6389,-78.9085
BTN,11,27.4896,89.3837
BTN,12,27.0361,89.5247
BTN,13,27.3711,89.1233
BTN,14,27.0219,89.0493
BTN,15,27.4828,89.6020
BTN,21,27.0316,90.1671
BTN,22,27.0316,89.8444
BTN,23,27.6756,89.8223
BTN,24,27.5206,90.0915
BTN,31,27.0503,90.3468
BTN,32,27.4491,90.4811
BTN,33,27.7219,90.7042
BTN,34,27.0763,90.8505
BTN,41,27.2629,91.7340
BTN,42,27.1956,91.2014
BTN,43,26.9641,91.3405
BTN,44,27.6977,91.0822
BTN,45,26.9509,91.7328
BTN,GA,28.0641,89.9133
BTN,TY,27.6760,91.5121
BWA,CE,-21.8775,26.6144
BWA,FR,-21.1678,27.5038
BWA,GA,-24.6239,25.9171
BWA,GH,-22.1555,22.7086
BWA,JW,-24.5774,24.7253
BWA,KG,-24.8361,22.2402
BWA,KL,-24.2001,26.4263
BWA,KW,-23.8665,24.4879
BWA,LO,-25.2144,25.6842
BWA,NE,-20.9374,27.4487
BWA,NW,-19.6141,23.4709
BWA,SE,-24.9869,25.7446
BWA,SO,-25.0004,24.3683
BWA,SP,-21.9728,27.8625
BWA,ST,-20.5752,26.1919
BLR,BR,52.4289,25.3826
BLR,HM,53.9005,27.6424
BLR,HO,52.1969,29.5189
BLR,HR,53.4855,25.0839
BLR,MA,53.8241,30.4041
BLR,MI,53.1945,27.4703
BLR,VI,55.3073,28.6747
BLZ,BZ,17.5367,-88.4189
BLZ,CY,16.9902,-88.8833
BLZ,CZL,18.1667,-88.3492
BLZ,OW,17.7122,-88.8552
BLZ,SC,16.8090,-88.4963
BLZ,TOL,16.3761,-88.8117
CAN,AB,55.2816,-115.0000
